Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,StoneArea,TotalSF,BuiltEqualRemod,Pool,TotalBath,TotalRoomsAboveGrade,TotalPorchSF,TotalOverallGrade,ConditionsScore,LotDepth,AreaLivRatio,GLQBsmtArea
11,20,RL,70.0,11200,Pave,None,3,Lvl,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,4,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,2,5,Typ,0,1,Detchd,1965.0,1,1.0,384.0,3,3,2,0,0,0,0,0,0,None,None,None,0,2,2008,WD,Normal,0.0,2080.0,1,0,2.0,6.0,0,10,3,160.0,7.865168539325842,0.0
12,60,RL,85.0,11924,Pave,None,2,Lvl,Inside,2,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,286.0,4,2,PConc,5,3,1,6,998.0,1,0.0,177.0,1175.0,GasA,4,Y,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,4,11,Typ,2,4,BuiltIn,2005.0,3,3.0,736.0,3,3,2,147,21,0,0,0,0,None,None,None,0,7,2006,New,Partial,286.0,3499.0,0,0,4.0,14.0,168,14,3,140.28235294117647,6.21689259645464,0.0
13,20,RL,72.0,12968,Pave,None,1,Lvl,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,None,0.0,2,2,CBlock,3,3,1,5,737.0,1,0.0,175.0,912.0,GasA,2,Y,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,2,4,Typ,0,1,Detchd,1962.0,1,1.0,352.0,3,3,2,140,0,0,0,176,0,None,None,None,0,9,2008,WD,Normal,0.0,1824.0,1,0,2.0,5.0,316,11,3,180.11111111111111,10.259493670886076,0.0
14,20,RL,91.0,10652,Pave,None,2,Lvl,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,306.0,3,2,PConc,4,3,3,1,0.0,1,0.0,1494.0,1494.0,GasA,4,Y,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,3,7,Typ,1,4,Attchd,2006.0,2,3.0,840.0,3,3,2,160,33,0,0,0,0,None,None,None,0,8,2007,New,Partial,306.0,2988.0,0,0,2.0,9.0,193,12,3,117.05494505494505,4.563838903170523,0.0
15,20,RL,73.0,10920,Pave,None,2,Lvl,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,212.0,2,2,CBlock,3,3,1,4,733.0,1,0.0,520.0,1253.0,GasA,2,Y,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,2,5,Typ,1,2,Attchd,1960.0,2,1.0,352.0,3,3,2,0,213,176,0,0,0,None,GdWo,None,0,5,2008,WD,Normal,0.0,2506.0,1,0,2.5,6.5,389,11,3,149.58904109589042,6.803738317757009,0.0
16,45,RM,51.0,6120,Pave,None,3,Lvl,Corner,2,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,832.0,832.0,GasA,4,Y,FuseA,854,0,0,854,0.0,0.0,1,0,2,1,2,5,Typ,0,1,Detchd,1991.0,1,2.0,576.0,3,3,2,48,112,0,0,0,0,None,GdPrv,None,0,7,2007,WD,Normal,0.0,1686.0,0,0,1.0,6.0,160,15,3,120.0,4.27972027972028,0.0
17,20,RL,73.0,11241,Pave,None,2,Lvl,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,2,2,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,4,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,2,5,Typ,1,3,Attchd,1970.0,3,2.0,480.0,3,3,2,0,0,0,0,0,0,None,None,Shed,700,3,2010,WD,Normal,0.0,2008.0,1,0,2.0,6.0,0,13,3,153.986301369863,7.574797843665769,0.0
18,90,RL,72.0,10791,Pave,None,3,Lvl,Inside,2,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,Slab,1,1,0,0,0.0,0,0.0,0.0,0.0,GasA,2,Y,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,2,6,Typ,0,1,CarPort,1967.0,1,2.0,516.0,3,3,2,0,0,0,0,0,0,None,None,Shed,500,10,2006,WD,Normal,0.0,1296.0,1,0,2.0,8.0,0,9,3,149.875,5.9552980132450335,0.0
19,20,RL,66.0,13695,Pave,None,3,Lvl,Inside,2,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,3,3,1,6,646.0,1,0.0,468.0,1114.0,GasA,4,Y,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,3,6,Typ,0,1,Detchd,2004.0,1,2.0,576.0,3,3,2,0,102,0,0,0,0,None,None,None,0,6,2008,WD,Normal,0.0,2228.0,1,0,2.5,7.5,102,10,1,207.5,8.103550295857989,0.0
20,20,RL,70.0,7560,Pave,None,3,Lvl,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,None,0.0,2,2,CBlock,3,3,1,2,504.0,1,0.0,525.0,1029.0,GasA,2,Y,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,2,6,Min1,0,1,Attchd,1958.0,1,1.0,294.0,3,3,2,0,0,0,0,0,0,None,MnPrv,None,0,5,2009,COD,Abnorml,0.0,2368.0,0,0,1.0,7.0,0,11,3,108.0,4.629516227801592,0.0
21,60,RL,101.0,14215,Pave,None,2,Lvl,Corner,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,380.0,3,2,PConc,5,3,3,1,0.0,1,0.0,1158.0,1158.0,GasA,4,Y,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,3,9,Typ,1,4,BuiltIn,2005.0,2,3.0,853.0,3,3,2,240,154,0,0,0,0,None,None,None,0,11,2006,New,Partial,0.0,3534.0,0,0,3.5,12.5,394,13,3,140.74257425742573,7.068622575832919,0.0
22,45,RM,57.0,7449,Pave,Grvl,3,Bnk,Inside,2,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,PConc,3,3,1,1,0.0,1,0.0,637.0,637.0,GasA,4,Y,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,3,6,Typ,1,4,Attchd,1930.0,1,1.0,280.0,3,3,0,0,0,205,0,0,0,None,GdPrv,None,0,6,2007,WD,Normal,0.0,1745.0,0,0,1.0,7.0,205,14,3,130.68421052631578,5.36671469740634,0.0
23,20,RL,75.0,9742,Pave,None,3,Lvl,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,281.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1777.0,1777.0,GasA,4,Y,SBrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,3,7,Typ,1,4,Attchd,2002.0,2,2.0,534.0,3,3,2,171,159,0,0,0,0,None,None,None,0,9,2008,WD,Normal,0.0,3572.0,1,0,2.0,9.0,330,13,3,129.89333333333335,4.182911120652641,0.0
24,120,RM,44.0,4224,Pave,None,3,Lvl,Inside,2,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,None,0.0,2,2,PConc,4,3,1,6,840.0,1,0.0,200.0,1040.0,GasA,2,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,Typ,1,3,Attchd,1976.0,1,2.0,572.0,3,3,2,100,110,0,0,0,0,None,None,None,0,6,2007,WD,Normal,0.0,2100.0,1,0,2.0,7.0,210,12,3,96.0,2.588235294117647,0.0
25,20,RL,72.0,8246,Pave,None,2,Lvl,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,2,3,CBlock,3,3,2,3,188.0,5,668.0,204.0,1060.0,GasA,4,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,Typ,1,3,Attchd,1968.0,1,1.0,270.0,3,3,2,406,90,0,0,0,0,None,MnPrv,None,0,5,2010,WD,Normal,0.0,2120.0,0,0,2.0,7.0,496,13,3,114.52777777777777,6.2,0.0
26,20,RL,110.0,14230,Pave,None,3,Lvl,Corner,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,3,2,PConc,4,3,1,1,0.0,1,0.0,1566.0,1566.0,GasA,4,Y,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,3,7,Typ,1,4,Attchd,2007.0,2,3.0,890.0,3,3,2,0,56,0,0,0,0,None,None,None,0,7,2009,WD,Normal,640.0,3166.0,1,0,2.0,9.0,56,13,3,129.36363636363637,5.714859437751004,0.0
27,20,RL,60.0,7200,Pave,None,3,Lvl,Corner,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,2,2,CBlock,3,3,2,4,234.0,3,486.0,180.0,900.0,GasA,2,Y,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,3,5,Typ,0,1,Detchd,2005.0,1,2.0,576.0,3,3,2,222,32,0,0,0,0,None,None,None,0,5,2010,WD,Normal,0.0,1800.0,0,0,1.5,6.0,254,12,3,120.0,4.878048780487805,0.0
28,20,RL,98.0,11478,Pave,None,3,Lvl,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,3,2,PConc,5,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,4,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,3,7,Typ,1,4,Attchd,2008.0,2,3.0,772.0,3,3,2,0,50,0,0,0,0,None,None,None,0,5,2010,WD,Normal,200.0,3408.0,0,0,3.0,9.0,50,13,3,117.12244897959184,4.635702746365105,0.0
29,20,RL,47.0,16321,Pave,None,2,Lvl,CulDSac,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,CBlock,3,3,4,4,1277.0,1,0.0,207.0,1484.0,GasA,2,Y,SBrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,2,6,Typ,2,4,Attchd,1957.0,2,1.0,319.0,3,3,2,288,258,0,0,0,0,None,None,None,0,12,2006,WD,Normal,0.0,3084.0,0,0,2.0,7.0,546,11,3,347.25531914893617,8.504950495049505,0.0
30,30,RM,60.0,6324,Pave,None,2,Lvl,Inside,2,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,2,2,BrkTil,3,3,1,1,0.0,1,0.0,520.0,520.0,GasA,1,N,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,1,4,Typ,0,1,Detchd,1920.0,1,1.0,240.0,2,3,2,49,0,87,0,0,0,None,None,None,0,5,2008,WD,Normal,0.0,1040.0,0,0,1.0,5.0,136,10,0,105.4,8.321052631578947,0.0
31,70,C (all),50.0,8500,Pave,Pave,3,Lvl,Inside,2,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,2,1,BrkTil,3,3,1,1,0.0,1,0.0,649.0,649.0,GasA,2,N,SBrkr,649,668,0,1317,0.0,0.0,1,0,3,1,2,6,Typ,0,1,Detchd,1920.0,1,1.0,250.0,3,2,0,0,54,172,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,0.0,1966.0,0,0,1.0,7.0,226,8,1,170.0,9.454949944382648,0.0
32,20,RL,72.0,8544,Pave,None,2,Lvl,CulDSac,2,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,3,3,1,1,0.0,1,0.0,1228.0,1228.0,GasA,3,Y,SBrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,3,6,Typ,0,1,Attchd,1966.0,1,1.0,271.0,3,3,2,0,65,0,0,0,0,None,MnPrv,None,0,6,2008,WD,Normal,0.0,2456.0,0,0,1.5,7.5,65,11,3,118.66666666666667,5.6997998665777185,0.0
33,20,RL,85.0,11049,Pave,None,3,Lvl,Corner,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,2,PConc,5,3,3,1,0.0,1,0.0,1234.0,1234.0,GasA,4,Y,SBrkr,1234,0,0,1234,0.0,0.0,2,0,3,1,3,7,Typ,0,1,Attchd,2007.0,2,2.0,484.0,3,3,2,0,30,0,0,0,0,None,None,None,0,1,2008,WD,Normal,0.0,2468.0,1,0,2.0,9.0,30,13,3,129.98823529411766,6.431315483119907,0.0
34,20,RL,70.0,10552,Pave,None,2,Lvl,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,2,2,CBlock,3,3,1,3,1018.0,1,0.0,380.0,1398.0,GasA,3,Y,SBrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,3,6,Typ,1,4,Attchd,1959.0,2,2.0,447.0,3,3,2,0,38,0,0,0,0,None,None,None,0,4,2010,WD,Normal,0.0,3098.0,1,0,2.0,7.5,38,10,3,150.74285714285713,4.914764788076385,0.0
35,120,RL,60.0,7313,Pave,None,3,Lvl,Inside,2,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,4,2,PConc,5,3,1,6,1153.0,1,0.0,408.0,1561.0,GasA,4,Y,SBrkr,1561,0,0,1561,1.0,0.0,2,0,2,1,4,6,Typ,1,4,Attchd,2005.0,3,2.0,556.0,3,3,2,203,47,0,0,0,0,None,None,None,0,8,2007,WD,Normal,0.0,3122.0,1,0,3.0,8.0,250,14,3,121.88333333333334,3.4544166273027868,0.0
36,60,RL,108.0,13418,Pave,None,3,Lvl,Inside,2,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,3,2,PConc,5,3,3,1,0.0,1,0.0,1117.0,1117.0,GasA,4,Y,SBrkr,1132,1320,0,2452,0.0,0.0,3,1,4,1,3,9,Typ,1,4,BuiltIn,2004.0,3,3.0,691.0,3,3,2,113,32,0,0,0,0,None,None,None,0,9,2006,WD,Normal,132.0,3569.0,0,0,3.5,12.5,145,13,3,124.24074074074075,7.36039495337356,0.0
37,20,RL,112.0,10859,Pave,None,3,Lvl,Corner,2,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3,1,1,0.0,1,0.0,1097.0,1097.0,GasA,4,Y,SBrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,2,6,Typ,0,1,Attchd,1995.0,1,2.0,672.0,3,3,2,392,64,0,0,0,0,None,None,None,0,6,2009,WD,Normal,0.0,2194.0,0,0,1.5,7.5,456,10,3,96.95535714285714,6.138496325607688,0.0
38,20,RL,74.0,8532,Pave,None,3,Lvl,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,2,2,CBlock,3,3,1,3,1213.0,1,0.0,84.0,1297.0,GasA,3,Y,SBrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,2,5,Typ,1,3,Attchd,1954.0,3,2.0,498.0,3,3,2,0,0,0,0,0,0,None,None,None,0,10,2009,WD,Normal,0.0,2594.0,0,0,1.5,6.0,0,11,3,115.29729729729729,4.753203342618384,0.0
39,20,RL,68.0,7922,Pave,None,3,Lvl,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,2,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,3,5,Typ,0,1,Detchd,1953.0,1,1.0,246.0,3,3,2,0,52,0,0,0,0,None,None,None,0,1,2010,WD,Abnorml,0.0,2114.0,0,0,2.0,6.0,52,12,3,116.5,6.079815809669992,0.0
40,90,RL,65.0,6040,Pave,None,3,Lvl,Inside,2,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,None,0.0,2,2,PConc,1,1,0,0,0.0,0,0.0,0.0,0.0,GasA,2,N,FuseP,1152,0,0,1152,0.0,0.0,2,0,2,2,1,6,Typ,0,1,None,0.0,0,0.0,0.0,1,1,0,0,0,0,0,0,0,None,None,None,0,6,2008,WD,AdjLand,0.0,1152.0,1,0,2.0,8.0,0,9,3,92.92307692307692,5.243055555555555,0.0
41,20,RL,84.0,8658,Pave,None,3,Lvl,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,101.0,2,2,CBlock,3,3,1,3,643.0,1,0.0,445.0,1088.0,GasA,4,Y,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,2,6,Typ,1,3,Attchd,1965.0,2,2.0,440.0,3,3,2,0,138,0,0,0,0,None,GdWo,None,0,12,2006,WD,Abnorml,0.0,2412.0,1,0,2.0,8.0,138,11,3,103.07142857142857,4.908163265306122,0.0
42,20,RL,115.0,16905,Pave,None,3,Lvl,Inside,2,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,3,CBlock,3,3,4,4,967.0,1,0.0,383.0,1350.0,GasA,3,Y,SBrkr,1328,0,0,1328,0.0,1.0,1,1,2,1,2,5,Typ,2,4,Attchd,1959.0,2,1.0,308.0,3,3,1,0,104,0,0,0,0,None,None,None,0,7,2007,WD,Normal,0.0,2678.0,1,0,2.0,6.5,104,11,3,147.0,10.333129584352077,0.0
43,85,RL,67.0,9180,Pave,None,2,Lvl,CulDSac,2,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,None,0.0,2,2,CBlock,4,3,3,5,747.0,2,93.0,0.0,840.0,GasA,3,Y,SBrkr,884,0,0,884,1.0,0.0,1,0,2,1,3,5,Typ,0,1,Attchd,1983.0,2,2.0,504.0,3,4,2,240,0,0,0,0,0,None,MnPrv,None,0,12,2007,WD,Normal,0.0,1724.0,1,0,2.0,6.0,240,12,3,137.01492537313433,6.6138328530259365,0.0
44,20,RL,70.0,9200,Pave,None,2,Lvl,CulDSac,2,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,None,0.0,2,2,CBlock,4,3,3,2,280.0,4,491.0,167.0,938.0,GasA,2,Y,SBrkr,938,0,0,938,1.0,0.0,1,0,3,1,2,5,Typ,0,1,Detchd,1977.0,1,1.0,308.0,3,3,2,145,0,0,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,0.0,1876.0,0,0,2.0,6.0,145,11,3,131.42857142857142,7.38362760834671,0.0
