Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,AreaFrontageRatio,AreaLivRatio,StoneArea,GLQBsmtArea,TotalSF,TotalPorchSF,HouseAge,TotalRoomsAboveGrade,TotalBath,OverallScore,OverallCondition,BuiltEqualRemod,HasAlley,HasPool,Has2ndFlr,HasGarage,HasBsmt,HasFireplace,NeighborhoodGrouped,TotalSF_OverallScore
26,20,RL,110.0,14230,Pave,None,Reg,Lvl,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,640.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1566.0,1566.0,GasA,Ex,Y,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2007.0,RFn,3.0,890.0,TA,TA,Y,0,56,0,0,0,0,None,None,None,0,7,2009,WD,Normal,129.36363636363637,5.714859437751004,640.0,0.0,3166.0,56,2,9.0,2.0,13,1.0,1,0,0,0,1,1,1,4,41158.0
27,20,RL,60.0,7200,Pave,None,Reg,Lvl,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,Mn,BLQ,234.0,Rec,486.0,180.0,900.0,GasA,TA,Y,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,Gd,5,Typ,0,None,Detchd,2005.0,Unf,2.0,576.0,TA,TA,Y,222,32,0,0,0,0,None,None,None,0,5,2010,WD,Normal,120.0,4.878048780487805,0.0,0.0,1800.0,254,10,6.0,1.5,12,1.0,0,0,0,0,1,1,0,1,21600.0
28,20,RL,98.0,11478,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,Gd,TA,PConc,Ex,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Ex,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,TA,Y,0,50,0,0,0,0,None,None,None,0,5,2010,WD,Normal,117.12244897959184,4.635702746365105,200.0,1218.0,3408.0,50,2,9.0,3.0,13,1.0,0,0,0,0,1,1,1,4,44304.0
29,20,RL,47.0,16321,Pave,None,IR1,Lvl,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,Gd,BLQ,1277.0,Unf,0.0,207.0,1484.0,GasA,TA,Y,SBrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,1.0,319.0,TA,TA,Y,288,258,0,0,0,0,None,None,None,0,12,2006,WD,Normal,347.25531914893617,8.504950495049505,0.0,0.0,3084.0,546,9,7.0,2.0,11,1.0,0,0,0,0,1,1,1,1,33924.0
30,30,RM,60.0,6324,Pave,None,IR1,Lvl,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,520.0,520.0,GasA,Fa,N,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,Fa,4,Typ,0,None,Detchd,1920.0,Unf,1.0,240.0,Fa,TA,Y,49,0,87,0,0,0,None,None,None,0,5,2008,WD,Normal,105.4,8.321052631578947,0.0,0.0,1040.0,136,58,5.0,1.0,10,-2.0,0,0,0,0,1,1,0,1,10400.0
31,70,C (all),50.0,8500,Pave,Pave,Reg,Lvl,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,None,0.0,TA,Fa,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,649.0,649.0,GasA,TA,N,SBrkr,649,668,0,1317,0.0,0.0,1,0,3,1,TA,6,Typ,0,None,Detchd,1920.0,Unf,1.0,250.0,TA,Fa,N,0,54,172,0,0,0,None,MnPrv,None,0,7,2008,WD,Normal,170.0,9.454949944382648,0.0,0.0,1966.0,226,58,7.0,1.0,8,-0.5,0,1,0,1,1,1,0,0,15728.0
32,20,RL,41.5,8544,Pave,None,IR1,Lvl,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1228.0,1228.0,GasA,Gd,Y,SBrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,Gd,6,Typ,0,None,Attchd,1966.0,Unf,1.0,271.0,TA,TA,Y,0,65,0,0,0,0,None,MnPrv,None,0,6,2008,WD,Normal,205.87951807228916,5.6997998665777185,0.0,0.0,2456.0,65,2,7.5,1.5,11,1.0,0,0,0,0,1,1,0,1,27016.0
33,20,RL,85.0,11049,Pave,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1234.0,1234.0,GasA,Ex,Y,SBrkr,1234,0,0,1234,0.0,0.0,2,0,3,1,Gd,7,Typ,0,None,Attchd,2007.0,RFn,2.0,484.0,TA,TA,Y,0,30,0,0,0,0,None,None,None,0,1,2008,WD,Normal,129.98823529411766,6.431315483119907,0.0,0.0,2468.0,30,1,9.0,2.0,13,1.0,1,0,0,0,1,1,0,2,32084.0
34,20,RL,70.0,10552,Pave,None,IR1,Lvl,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,None,0.0,TA,TA,CBlock,TA,TA,No,Rec,1018.0,Unf,0.0,380.0,1398.0,GasA,Gd,Y,SBrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,Gd,6,Typ,1,Gd,Attchd,1959.0,RFn,2.0,447.0,TA,TA,Y,0,38,0,0,0,0,None,None,None,0,4,2010,WD,Normal,150.74285714285713,4.914764788076385,0.0,0.0,3098.0,38,51,7.5,2.0,10,1.0,1,0,0,0,1,1,1,1,30980.0
35,120,RL,60.0,7313,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,246.0,Ex,TA,PConc,Ex,TA,No,GLQ,1153.0,Unf,0.0,408.0,1561.0,GasA,Ex,Y,SBrkr,1561,0,0,1561,1.0,0.0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,Fin,2.0,556.0,TA,TA,Y,203,47,0,0,0,0,None,None,None,0,8,2007,WD,Normal,121.88333333333334,3.4544166273027868,0.0,1153.0,3122.0,250,2,8.0,3.0,14,1.0,1,0,0,0,1,1,1,4,43708.0
36,60,RL,108.0,13418,Pave,None,Reg,Lvl,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,132.0,Gd,TA,PConc,Ex,TA,Av,Unf,0.0,Unf,0.0,1117.0,1117.0,GasA,Ex,Y,SBrkr,1132,1320,0,2452,0.0,0.0,3,1,4,1,Gd,9,Typ,1,Gd,BuiltIn,2004.0,Fin,3.0,691.0,TA,TA,Y,113,32,0,0,0,0,None,None,None,0,9,2006,WD,Normal,124.24074074074075,7.36039495337356,132.0,0.0,3569.0,145,1,12.5,3.5,13,1.0,0,0,0,1,1,1,1,4,46397.0
37,20,RL,112.0,10859,Pave,None,Reg,Lvl,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1097.0,1097.0,GasA,Ex,Y,SBrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,TA,6,Typ,0,None,Attchd,1995.0,Unf,2.0,672.0,TA,TA,Y,392,64,0,0,0,0,None,None,None,0,6,2009,WD,Normal,96.95535714285714,6.138496325607688,0.0,0.0,2194.0,456,14,7.5,1.5,10,1.0,0,0,0,0,1,1,0,2,21940.0
